Numero;Año ;Provincia;Cantón;Parroquia;Nombre comercial;Clasificación;Categoría;Tipología ;Registro;Número de habitaciones;Número de plazas;Latitud;Longitud
260;2019;Loja;Loja;Vilcabamba ;Casa la Caracola;Casa de huéspedes;ND;Planta turística;ND;3;7;-4,270069;-79,217834
261;2019;Loja;Loja;Vilcabamba ;Las Margaritas;Hostal;ND;Planta turística;ND;6;20;-4,261805;-79,2231
262;2019;Loja;Loja;Vilcabamba ;La Casa de Mtilda;ND;ND;Planta turística;ND;4;10;-4,264429;-79,219306
263;2019;Loja;Loja;Vilcabamba ;Pensión Crucita;Pensión;ND;Planta turística;ND;6;15;-4,261402;-79,221539
264;2019;Loja;Loja;Vilcabamba ;Residencial Mandango;ND;ND;Planta turística;ND;16;30;-4,261661;-79,224679
265;2019;Loja;Loja;Vilcabamba ;Rivera Chamba ;Complejo Turisico;ND;Planta turística;ND;6;11;-4,26597;-79,215289
266;2019;Loja;Loja;Vilcabamba ;Taranza;Hostal;ND;Planta turística;ND;11;20;-4,261209;-79,214209
267;2019;Loja;Loja;Vilcabamba ;Valle Sagrado;Residencia;ND;Planta turística;ND;16;30;-4,260603;-79,223512
268;2019;Loja;Loja;Vilcabamba ;Clun Hacienda El Atillo;ND;ND;Planta turística;ND;12;24;-4,264668;-79,220164
269;2019;Loja;Loja;Vilcabamba ;Jardín Escondido;Hostería;ND;Planta turística;ND;14;35;-4,259882;-79,22275
270;2019;Loja;Loja;Vilcabamba ;Madre Tierra;ND;ND;Planta turística;ND;20;58;-4,246745;-79,225765
271;2019;Loja;Loja;Vilcabamba ;Agave Blu;Restaurante;Tercera;Planta turística;Ministerio de Turismo ;8;32;-4,261039;-79,222346
272;2019;Loja;Loja;Vilcabamba ;Breiky's;Bar;Tercera;Planta turística;Ministerio de Turismo ;5;20;-4,25361;-79,224104
273;2019;Loja;Loja;Vilcabamba ;Charlitos;Fuente de soda;Tercera;Planta turística;Ministerio de Turismo ;6;24;-4,260893;-79,220925
274;2019;Loja;Loja;Vilcabamba ;El Atillo;Fuente de soda;Cuarta;Planta turística;Ministerio de Turismo ;6;24;-4,264267;-79,219756
275;2019;Loja;Loja;Vilcabamba ;La Esquina;Restaurante;Cuarta;Planta turística;Ministerio de Turismo ;6;24;-4,260429;-79,222895
276;2019;Loja;Loja;Vilcabamba ;La Menorquina;Restaurante;Tercera;Planta turística;Ministerio de Turismo ;8;32;-4,260844;-79,22297
277;2019;Loja;Loja;Vilcabamba ;La Terraza Delicious Food;Restaurante;Tercera;Planta turística;Ministerio de Turismo ;10;40;-4,260419;-79,222214
278;2019;Loja;Loja;Vilcabamba ;Las Orquídeas;Restaurante;Tercera;Planta turística;Ministerio de Turismo ;4;16;-4,260288;-79,223338
279;2019;Loja;Loja;Vilcabamba ;Layseca's;Cafetería;Segunda;Planta turística;Ministerio de Turismo ;7;28;-4,260599;-79,22295
280;2019;Loja;Loja;Vilcabamba ;Mexibamba;Restaurante;Cuarta;Planta turística;Ministerio de Turismo ;5;20;-4,260663;-79,221677
281;2019;Loja;Loja;Vilcabamba ;Murano;Restaurante;Tercera;Planta turística;Ministerio de Turismo ;6;24;-4,260185;-79,222861
282;2019;Loja;Loja;Vilcabamba ;Natural Yogurt;Cafetería;Cuarta;Planta turística;Ministerio de Turismo ;8;40;-4,260235;-79,222282
283;2019;Loja;Loja;Vilcabamba ;Peking;Restaurante;Cuarta;Planta turística;Ministerio de Turismo ;5;20;-4,260811;-79,221129
284;2019;Loja;Loja;Vilcabamba ;Shanta's;Restaurante;Tercera;Planta turística;Ministerio de Turismo ;6;24;-4,25447;-79,221859
285;2019;Loja;Loja;Vilcabamba ;Timothy's;Cafetería;Segunda;Planta turística;Ministerio de Turismo ;8;32;-4,260216;-79,223283
286;2019;Loja;Loja;Vilcabamba ;United Falafel Café;Restaurante;Tercera;Planta turística;Ministerio de Turismo ;10;40;-4,261067;-79,222626
287;2019;Loja;Loja;Vilcabamba ;Vilcabamba Juice Factory;Restaurante;Tercera;Planta turística;Ministerio de Turismo ;4;16;-4,260621;-79,22195
288;2019;Loja;Loja;Vilcabamba ;La Casetta Pizzeria;Restaurante;ND;Planta turística;Ministerio de Turismo ;1;4;-4,261731;-79,223216
289;2019;Loja;Loja;Vilcabamba ;Cafetería Samy;Restaurante;ND;Planta turística;Ministerio de Turismo ;5;20;-4,262674;-79,2242
290;2019;Loja;Loja;Vilcabamba ;Sabor Costeño;Restaurante;ND;Planta turística;Ministerio de Turismo ;6;18;-4,262562;-79,224161
291;2019;Loja;Loja;Vilcabamba ;Pica Pollo;Restaurante;ND;Planta turística;Ministerio de Turismo ;13;48;-4,262053;-79,224004
292;2019;Loja;Loja;Vilcabamba ;Asaderos de Pollos Vilcabamba;Restaurante;ND;Planta turística;Ministerio de Turismo ;5;20;-4,261666;-79,223825
293;2019;Loja;Loja;Vilcabamba ;El Mirador;Restaurante;ND;Planta turística;Ministerio de Turismo ;6;30;-4,265463;-79,212826
294;2019;Loja;Loja;Vilcabamba ;El Carro Azul;Restaurante;ND;Planta turística;Ministerio de Turismo ;9;32;-4,261207;-79,216246
295;2019;Loja;Loja;Vilcabamba ;Beverly Hills Café;Cafetería;ND;Planta turística;ND;5;12;-4,260312;-79,223139
296;2019;Loja;Loja;Vilcabamba ;Frutti Coffe;Cafetería;ND;Planta turística;ND;2;6;-4,261446;-79,22293
297;2019;Loja;Loja;Vilcabamba ;La Criollita;Restaurante;ND;Planta turística;ND;6;24;-4,260219;-79,222183
298;2019;Loja;Loja;Vilcabamba ;Mestizo;Restaurante;ND;Planta turística;ND;7;22;-4,260643;-79,221611
299;2019;Loja;Loja;Vilcabamba ;Pollo Tropical;Restaurante;ND;Planta turística;ND;6;35;-4,260253;-79,223185
300;2019;Loja;Loja;Vilcabamba ;Restaurante A;Restaurante;ND;Planta turística;ND;4;20;-4,260851;-79,222626
301;2019;Loja;Loja;Vilcabamba ;Restaurante Alexander;Restaurante;ND;Planta turística;ND;4;16;-4,261247;-79,224726
302;2019;Loja;Loja;Vilcabamba ;Restaurante Katherine;Restaurante;ND;Planta turística;ND;9;27;-4,26143;-79,22316
303;2019;Loja;Loja;Vilcabamba ;Restaurante La Choza;Restaurante;ND;Planta turística;ND;6;20;-4,26067;-79,222709
304;2019;Loja;Loja;Vilcabamba ;Restaurante Lizbeth;Restaurante;ND;Planta turística;ND;20;50;-4,26067;-79,222709
305;2019;Loja;Loja;Vilcabamba ;Urku Warmy;Restaurante;ND;Planta turística;ND;4;12;-4,260129;-79,222729
306;2019;Loja;Loja;Vilcabamba ;Papitas al paso;Fuente de soda;ND;Planta turística;ND;4;12;-4,26101;-79,221721
307;2019;Loja;Loja;Vilcabamba ;Asadero el Rico Pollo ;Restaurante;ND;Planta turística;ND;4;24;-4,261707;-79,223778
308;2019;Loja;Loja;Vilcabamba ;Comedor Municipal;ND;ND;Planta turística;ND;15;57;-4,26067;-79,222709
309;2019;Loja;Loja;Vilcabamba ;Bar Centro Recreacional Yamburara;Fuente de soda;ND;Planta turística;ND;5;20;-4,264002;-79,222553
310;2019;Loja;Loja;Vilcabamba ;Asadero De Pollo;Restaurante;ND;Planta turística;ND;4;18;-4,261686;-79,223802
311;2019;Loja;Loja;Vilcabamba ;Burguer Cafeteria Jd;Restaurante;ND;Planta turística;ND;;;-4,261051;-79,223789
312;2019;Loja;Loja;Vilcabamba ;Donde Bava;Bar;ND;Planta turística;ND;5;19;-4,26067;-79,222709
313;2019;Loja;Loja;Vilcabamba ;Craig's Book Exchange And Fine Arts Gallery;ND;ND;Planta turística;ND;1;5;-4,261486;-79,211824
314;2019;Loja;Loja;Vilcabamba ;Inza Coffe;Cafetería;ND;Planta turística;ND;2;10;-4,261205;-79,21596
315;2019;Loja;Loja;Vilcabamba ;La Rica Pizza;Fuente de soda;ND;Planta turística;ND;;;-4,26067;-79,222709
316;2019;Loja;Loja;Vilcabamba ;Patios de Comida (Pinchos Vilcabamba, Pizza Molinari, Jugueria);Restaurante;ND;Planta turística;ND;6;35;-4,26067;-79,222709
317;2019;Loja;Loja;Vilcabamba ;Restaurante Vilcabamba;Restaurante;ND;Planta turística;ND;6;30;-4,260716;-79,221511
318;2019;Loja;Loja;Vilcabamba ;Rutas Comida yAventura;Restaurante;ND;Planta turística;ND;4;20;-4,260272;-79,223333
319;2019;Loja;Loja;Vilcabamba ;Zuoyi Chifa Restaurant;Restaurante;ND;Planta turística;ND;;;-4,260007;-79,222778
320;2019;Loja;Loja;Vilcabamba ;Restaurante Los Piqueros;Restaurante;ND;Planta turística;ND;5;20;-4,260717;-79,224056
321;2019;Loja;Loja;Vilcabamba ;La Cocina De Las Carolinas;Restaurante;ND;Planta turística;ND;1;5;-4,26067;-79,222709
322;2019;Loja;Loja;Vilcabamba ;La Tasca Tours;Operadora Turística;Agencias de Viaje;Planta turística;Ministerio de Turismo ;;;-4,260724;-79,221627
323;2019;Loja;Loja;Vilcabamba ;Monta Viejo Luis;Operadora Turística;Agencias de Viaje;Planta turística;Ministerio de Turismo ;;;-4,261385;-79,221579
324;2019;Loja;Loja;Vilcabamba ;Gavilán Tours ;Operadora Turística;Agencias de Viaje;Planta turística;Ministerio de Turismo ;;;-4,260191;-79,222751
325;2019;Loja;Loja;Vilcabamba ;HyCh Vilcatourist;Operadora Turística;Agencias de Viaje;Planta turística;Ministerio de Turismo ;;;-4,26067;-79,222709
326;2019;Loja;Loja;Vilcabamba ;Vilca Adventure;Operadora Turística;Agencias de Viaje;Planta turística;Ministerio de Turismo ;;;-4,260404;-79,222216
327;2019;Loja;Loja;Vilcabamba ;Chinos Bike;Alquiler de Bicicleta;Servicios Complementarios;Planta turística;Ministerio del Interior;;;-4,259948;-79,222686
328;2019;Loja;Loja;Vilcabamba ;Artesanías El Tucán;Tienda de Artesanía;Servicios Complementarios;Planta turística;Ministerio del Interior;;;-4,260642;-79,222965
329;2019;Loja;Loja;Vilcabamba ;Artesano;Tienda de Artesanía;Servicios Complementarios;Planta turística;Ministerio del Interior;;;-4,26067;-79,222709
330;2019;Loja;Loja;Vilcabamba ;Bazar y Artesanía Tanya;Tienda de Artesanía;Servicios Complementarios;Planta turística;Ministerio del Interior;;;-4,262135;-79,221589
331;2019;Loja;Loja;Vilcabamba ;Tienda El Longevo;Tienda de Artesanía;Servicios Complementarios;Planta turística;Ministerio del Interior;;;-4,260826;-79,223193
332;2019;Loja;Loja;Vilcabamba ;Handicrafts;Tienda de Artesanía;Servicios Complementarios;Planta turística;Ministerio del Interior;;;-4,26067;-79,222709
333;2019;Loja;Loja;Vilcabamba ;Vilca Tierra ;Tienda de Artesanía;Servicios Complementarios;Planta turística;Ministerio del Interior;;;-4,260698;-79,221788
334;2019;Loja;Loja;Vilcabamba ;Transporte Mixto Vilcabamba Express;Transporte;Servicios Complementarios;Planta turística;Ministerio del Interior;;;-4,261529;-79,224246
335;2019;Loja;Loja;Vilcabamba ;Cooperativa de Transporte Río Chamba;Transporte;Servicios Complementarios;Planta turística;Ministerio del Interior;;;-4,261529;-79,224246
336;2019;Loja;Loja;Vilcabamba ;Cooperativa de Transporte Loja;Transporte;Servicios Complementarios;Planta turística;Ministerio del Interior;;;-4,261529;-79,224246
337;2019;Loja;Loja;Vilcabamba ;Terminal Terrestre;Transporte;Servicios Complementarios;Planta turística;Ministerio del Interior;;;-4,261529;-79,224246
338;2019;Loja;Loja;Vilcabamba ;I-tur Municipal;Información Turistica;Servicios Complementarios;Planta turística;Ministerio del Interior;;;-4,260515;-79,222334
339;2019;Loja;Loja;Vilcabamba ;Baños públicos municipales;Servicios Higiénios;Servicios Complementarios;Planta turística;ND;;;-4,26067;-79,222709
340;2019;Loja;Loja;Vilcabamba ;UPC Vilcabamba;Policía Comunitaria;Servicios Complementarios;Planta turística;Ministerio del Interior;;;-4,259778;-79,222339
341;2019;Loja;Loja;Vilcabamba ;Cuerpo de Bomberos ;Bomberos;Servicios Complementarios;Planta turística;Ministerio del Interior;;;-4,259026;-79,222709
342;2019;Loja;Loja;Vilcabamba ;Oficina de Correos del Ecuador;Envío y Recepción de correo;Servicios Complementarios;Planta turística;Ministerio del Interior;;;-4,26067;-79,222413
343;2019;Loja;Loja;Vilcabamba ;Hospital Básico Vilcabanba;Salud;Servicios Complementarios;Planta turística;Ministerio del Interior;;;-4,258547;-79,223043
344;2019;Loja;Loja;Vilcabamba ;Centro de Meditación Vilcabamba;Salud;Servicios Complementarios;Planta turística;Ministerio del Interior;;;-4,257761;-79,221605
