Numero;Año ;Provincia;Cantón;Parroquia;Nombre comercial;Clasificación;Categoría;Tipología ;Registro;Número de habitaciones;Número de plazas;Latitud;Longitud
120;2019;Zamora Chinchipe;Yantzaza;Los Encuentros;Como en casa;Restaurante;ND;Planta turística;ND;;;-748685,343;-9576086,836
121;2019;Zamora Chinchipe;Yantzaza;Yantzaza;El Buen Sabor;Restaurante;ND;Planta turística;ND;;8;-748817,316;-9577328,473
122;2019;Zamora Chinchipe;ND;ND;Mi Cris;Restaurante;ND;Planta turística;ND;;;-748793,949;-9577335,667
123;2019;Zamora Chinchipe;Yantzaza;Yantzaza;Cevichería Manabita El Panita;Restaurante;ND;Planta turística;ND;;;-748841,827;-9577280,405
124;2019;Zamora Chinchipe;Yantzaza;Yantzaza;Las Delicias de Mary;Restaurante;ND;Planta turística;ND;;;-748806,966;-9577310,392
125;2019;Zamora Chinchipe;Yantzaza;Yantzaza;Tatys Grill;Restaurante;ND;Planta turística;ND;;;-748730,227;-9577228,703
126;2019;Zamora Chinchipe;Yantzaza;Yantzaza;Centro Recreacional Ottawa;Restaurante;ND;Planta turística;ND;;;-748433,843;-9576224,002
127;2019;Zamora Chinchipe;Yantzaza;Yantzaza;Super Pollo;Restaurante;Tercera;Planta turística;Ministerio de Turismo;;;-748741,197;-9576663,682
128;2019;Zamora Chinchipe;Yantzaza;Yantzaza;Chifa Amazonas;Restaurante;ND;Planta turística;ND;;;-748712,303;-9576276,89
129;2019;Zamora Chinchipe;Yantzaza;Yantzaza;Restaurant Los Panchos;Restaurante;ND;Planta turística;ND;;;-748719,164;-9576486,934
130;2019;Zamora Chinchipe;Yantzaza;Yantzaza;Pollos a la Brasa Mi Pollito;Restaurante;ND;Planta turística;ND;;;-748710,266;-9576420,563
131;2019;Zamora Chinchipe;Yantzaza;Yantzaza;Casa Grill;Restaurante;ND;Planta turística;ND;;;-748606,625;-9576195,306
132;2019;Zamora Chinchipe;Yantzaza;Yantzaza;Pavi Broster;Restaurante;ND;Planta turística;ND;;;-748698,561;-9576171,584
133;2019;Zamora Chinchipe;Yantzaza;Yantzaza;Puerto Callao;Restaurante;Tercera;Planta turística;Ministerio de Turismo;;;-748688,455;-9576120,553
134;2019;Zamora Chinchipe;Yantzaza;Yantzaza;King Chicken;Restaurante;ND;Planta turística;ND;;;-748652,643;-9575904,398
135;2019;Zamora Chinchipe;Yantzaza;Yantzaza;Reina del Cisne;Restaurante;ND;Planta turística;ND;;;-748551,681;-9675962,185
136;2019;Zamora Chinchipe;Yantzaza;Yantzaza;Cevichera Mi Conchita;Restaurante;ND;Planta turística;ND;;;-748636,885;-9575967,677
137;2019;Zamora Chinchipe;Yantzaza;Yantzaza;El Costillar;Restaurante;ND;Planta turística;ND;;;-748725,35;-9573404,853
138;2019;Zamora Chinchipe;Yantzaza;Yantzaza;Asadero Pinchos de Metro;Restaurante;ND;Planta turística;ND;;;-748517,48;-9573721,48
139;2019;Zamora Chinchipe;Yantzaza;Yantzaza;Comedor Reina del Cisne;Restaurante;ND;Planta turística;ND;;;-750250,876;-9587616,032
140;2019;Zamora Chinchipe;Yantzaza;Yantzaza;Centro Recreacional Sumave;Restaurante;Tercera;Planta turística;Ministerio de Turismo;;;-758369,6;-9584727,8
141;2019;Zamora Chinchipe;Yantzaza;Yantzaza;Tuna Nunka;Restaurante;ND;Planta turística;ND;;;-750245;-9587786
142;2019;Zamora Chinchipe;Yantzaza;Yantzaza;Restaurante Doña Lucy;Restaurante;ND;Planta turística;ND;;;-760146,9;-9584016,2
143;2019;Zamora Chinchipe;Yantzaza;Los Encuentros;El Chiringuito;Restaurante;ND;Planta turística;ND;;;-763276;-9584857
144;2019;Zamora Chinchipe;Yantzaza;Los Encuentros;Centro Recreacional Mashi;Restaurante;ND;Planta turística;ND;;;-760736,666;-9584215,112
145;2019;Zamora Chinchipe;Yantzaza;Yantzaza;Hostería El Imperio;Restaurante;ND;Planta turística;ND;;;-748843,733;-9579796,274
146;2019;Zamora Chinchipe;Yantzaza;Yantzaza;Restaurante Sabores de casa;Restaurante;Tercera;Planta turística;Ministerio de Turismo;;;-748771;-9576124
147;2019;Zamora Chinchipe;Yantzaza;Yantzaza;Todo a Leña;Restaurante;ND;Planta turística;ND;;;-749052;-9577881
148;2019;Zamora Chinchipe;Yantzaza;Los Encuentros;Jardín Burger;Restaurante;ND;Planta turística;ND;;;-761293;-9584007
