OBJECTID;date_;time_value_ms;time_uncertainty;latitude_value;longitude_value;depth_value;magnitude_value_M;quality_associatedPhaseCount;quality_usedPhaseCount;quality_associatedStationCount;quality_usedStationCount;quality_standardError;quality_azimuthalGap;quality_maximumDistance;quality_minimumDistance;quality_medianDistance;Tiempo
16;12/2/16 12:39;961.290.000.000.000.000.000;0.782172270000000;-2.848.742.250.000.000;-78.024.261.469.999.900;2.940.092.560.000.000;4.147.878.800.000.000;30.000.000.000.000.000;30.000.000.000.000.000;26.000.000.000.000.000;26.000.000.000.000.000;0.659323870000000;229.567.742.799.999.000;2.782.853.130.000.000;0.557994310000000;2.100.734.230.000.000;12/2/16 12:39
17;13/2/16 09:19;562.590.000.000.000.000.000;1.046.704.690.000.000;-1.361.174.580.000.000;-80.879.165.650.000.000;12.000.000.000.000.000;3.985.493.460.000.000;68.000.000.000.000.000;55.000.000.000.000.000;66.000.000.000.000.000;54.000.000.000.000.000;0.830009240000000;225.421.386.700.000.000;3.717.291.590.000.000;0.516242440000000;2.549.847.360.000.000;13/2/16 09:19
18;14/2/16 17:25;724.380.000.000.000.000.000;0.603144310000000;-0.797298610000000;-79.890.380.859.999.800;62.726.867.679.999.800;3.685.563.170.000.000;59.000.000.000.000.000;40.000.000.000.000.000;56.000.000.000.000.000;39.000.000.000.000.000;0.394376470000000;119.794.448.900.000.000;2.174.816.370.000.000;0.439520150000000;1.482.287.170.000.000;14/2/16 17:25
19;14/2/16 21:58;987.793.000.000.000.000.000;0.396408600000000;-2.011.428.360.000.000;-79.813.224.790.000.000;54.628.334.049.999.900;3.627.583.560.000.000;39.000.000.000.000.000;36.000.000.000.000.000;36.000.000.000.000.000;33.000.000.000.000.000;0.658615020000000;169.548.339.800.000.000;2.487.409.350.000.000;0.330157940000000;1.643.200.400.000.000;14/2/16 21:58
20;15/2/16 02:13;191.062.000.000.000.000.000;0.960194930000000;-1.344.033.120.000.000;-80.928.771.970.000.000;3.642.760.990.000.000;4.425.984.770.000.000;48.000.000.000.000.000;48.000.000.000.000.000;47.000.000.000.000.000;47.000.000.000.000.000;0.648183720000000;225.654.720.300.000.000;3.747.141.600.000.000;1.074.545.260.000.000;2.562.512.870.000.000;15/2/16 02:13
21;16/2/16 12:16;833.077.000.000.000.000.000;0.296445640000000;-2.211.333.510.000.000;-79.753.112.790.000.000;40.075.988.770.000.000;3.971.089.970.000.000;49.000.000.000.000.000;39.000.000.000.000.000;44.000.000.000.000.000;35.000.000.000.000.000;0.786034840000000;130.622.650.099.998.000;2.326.636.550.000.000;0.226228310000000;1.565.487.740.000.000;16/2/16 12:16
22;24/2/16 01:28;877.213.000.000.000.000.000;1.010.139.620.000.000;-1.676.064.730.000.000;-80.936.851.500.000.000;12.000.000.000.000.000;3.990.082.710.000.000;49.000.000.000.000.000;38.000.000.000.000.000;47.000.000.000.000.000;38.000.000.000.000.000;0.741362860000000;221.752.584.500.000.000;3.405.732.870.000.000;1.378.014.210.000.000;2.649.832.250.000.000;24/2/16 01:28
23;1/3/16 14:16;863.969.000.000.000.000.000;1.124.787.580.000.000;-0.964352250000000;-80.965.972.899.999.800;7.000.000.000.000.000;3.525.917.990.000.000;34.000.000.000.000.000;22.000.000.000.000.000;31.000.000.000.000.000;20.000.000.000.000.000;1.018.188.050.000.000;271.950.698.900.000.000;3.516.946.080.000.000;0.786177640000000;2.492.153.410.000.000;1/3/16 14:16
24;4/3/16 10:07;358.745.000.000.000.000.000;0.530018360000000;0.242877350000000;-80.050.888.060.000.000;4.287.724.970.000.000;4.085.665.730.000.000;52.000.000.000.000.000;52.000.000.000.000.000;51.000.000.000.000.000;51.000.000.000.000.000;0.708259450000000;188.144.416.799.998.000;3.765.427.830.000.000;0.417629360000000;1.829.963.800.000.000;4/3/16 10:07
25;4/3/16 11:25;431.948.000.000.000.000.000;0.571884130000000;-1.241.566.660.000.000;-80.427.978.519.999.800;5.955.482.480.000.000;4.842.567.390.000.000;94.000.000.000.000.000;60.000.000.000.000.000;90.000.000.000.000.000;59.000.000.000.000.000;0.736232200000000;188.508.712.800.000.000;2.607.848.410.000.000;0.849345210000000;2.047.047.140.000.000;4/3/16 11:25
